province,lat,lon
Adana,36.9863599,35.3252861
Adıyaman,37.7602985,38.2772986
Afyonkarahisar,38.6852729,30.6427411
Ağrı,39.52916,43.3835645
Amasya,40.6569451,35.7727169
Ankara,39.9207759,32.8540497
Antalya,36.8865728,30.7030242
Artvin,41.160506,41.8398627
Aydın,37.8483767,27.8435878
Balıkesir,39.5400798,28.0228793
Bilecik,40.1543234,30.1479907
Bingöl,38.8861265,40.4972333
Bitlis,38.4950867,42.1678372
Bolu,40.6212099,31.6460259
Burdur,37.5183407,30.1691254
Bursa,40.1825734,29.0675039
Çanakkale,40.0549886,26.9278292
Çankırı,40.6667691,33.4526069
Çorum,40.5499106,34.9537344
Denizli,37.8275892,29.2389539
Diyarbakır,37.9162222,40.2363542
Edirne,41.6759327,26.5587225
Elazığ,38.5824771,39.396179
Erzincan,39.6073429,39.2013209
Erzurum,39.90632,41.2727715
Eskişehir,39.7743941,30.519116
Gaziantep,37.0628317,37.3792617
Giresun,40.6531617,38.5172032
Gümüşhane,40.2533219,39.384968
Hakkari,37.495358,44.1054777
Hatay,36.3451332,36.0748022
Isparta,37.9465412,30.9602093
Mersin,36.7978381,34.6298391
İstanbul,41.006381,28.9758715
İzmir,38.4192537,27.128469
Kars,40.4558435,42.9979531
Kastamonu,41.3680217,33.7619177
Kayseri,38.7219011,35.4873214
Kırklareli,41.7078046,27.6051334
Kırşehir,39.3303066,34.1265884
Kocaeli,40.8216536,29.9507184
Konya,37.872734,32.4924376
Kütahya,39.2522508,29.4937732
Malatya,38.3487153,38.3190674
Manisa,38.8574402,28.0565711
Kahramanmaraş,37.7830345,36.830655
Mardin,37.3611355,40.8959403
Muğla,37.1642053,28.2624288
Muş,38.9740786,41.9590433
Nevşehir,38.7235072,34.7194168
Niğde,38.0664691,34.7051438
Ordu,40.8292569,37.4082764
Rize,40.9569617,40.884428
Sakarya,40.7731834,30.481606
Samsun,41.2303557,35.9683338
Siirt,37.8646916,42.0510294
Sinop,41.6476377,34.9560137
Sivas,39.4191717,37.1012388
Tekirdağ,41.0731403,27.4102013
Tokat,40.3891816,36.6315075
Trabzon,41.0054605,39.7301463
Tunceli,39.2197553,39.4139674
Şanlıurfa,37.1596239,38.791929
Uşak,38.5768902,29.3729779
Van,38.3249599,43.6589825
Yozgat,39.7152422,35.170998
Zonguldak,41.250324,31.8389738
Aksaray,38.4326291,33.8976963
Bayburt,40.2023027,40.2121599
Karaman,37.1796848,33.3383665
Kırıkkale,39.8410483,33.5058536
Batman,37.7874104,41.2573924
Şırnak,37.455253,42.5212049
Bartın,41.4947715,32.4354255
Ardahan,41.0372501,42.7462189
Iğdır,39.9218784,44.0467957
Yalova,40.5795422,29.1687005
Karabük,41.1110349,32.6193901
Kilis,36.7797231,37.1416892
Osmaniye,37.2517882,36.2993502
Düzce,40.8774545,31.2009618
